codigo_municipio,municipio,cluster_final,total_delitos_tasa,HURTOS_tasa,LESIONES_tasa,VIOLENCIA INTRAFAMILIAR_tasa,HOMICIDIOS_tasa,AMENAZAS_tasa,log_densidad,log_area,centros_por_km2,proporcion_menores,proporcion_adultos,proporcion_adolescentes
68001,BUCARAMANGA,1,23730.461978527863,10427.889775331341,7187.246897913524,3505.528536141629,332.18872990590586,1318.6594589463093,8.832710588965725,5.036404959458623,0.006539551472280438,0.14785193506290695,0.7945265694059125,0.057621495531180546
68013,AGUADA,2,4600.988969189806,292.12628375808293,1752.7577025484977,839.8630658044885,36.51578546976037,949.4104222137695,3.9842327896639698,4.3337714562781,0.01329234895996822,0.1608288166715957,0.7781880675453693,0.060983115783034995
68020,ALBANIA,2,4022.734301991081,628.5522346861063,949.812265747894,907.908783435487,181.5817566870974,726.3270267483896,4.06784589381181,5.119292166985972,0.024064932091408302,0.17486500376352326,0.7670738851477035,0.058061111088773244
68051,ARATOCA,2,8825.00151606646,1050.7835287706707,5048.501314920742,1121.889181093498,410.83265786522463,608.3483587619673,4.5996562919376025,5.140443817566753,0.0176687236102286,0.17720830416141767,0.7581433971093983,0.06464829872918394
68077,BARBOSA,1,21282.044440183516,5155.06884405415,9347.76843915302,3313.331889759782,365.65544890375384,2023.4430362649446,7.068283112479882,3.8641950049052816,0.04285877732146466,0.17677628159304884,0.7609116588439465,0.06231205956300458
68079,BARICHARA,2,6086.11044629896,1188.8779785137685,2102.188213663418,1393.5854450128277,102.35373324952972,621.995763593296,4.695896237414931,4.92925032602804,0.029138418127360562,0.17311687719530489,0.7691107059168298,0.05777241688786525
68081,BARRANCABERMEJA,1,22442.54802830572,6235.028092460601,6294.69343305831,5069.877958091854,636.5420325564584,2975.8926619464123,5.668684028276557,7.191307562299194,0.005275699373404166,0.18512327459686187,0.7527417590978874,0.06213496630525075
68092,BETULIA,3,9074.753718369711,1548.4698805154667,3769.14374016943,1140.346036038522,528.1602693231049,1044.3168961615938,3.2290299010626202,6.069001137060962,0.027826170279915796,0.20290499552275368,0.7350035940018544,0.06209141047539189
68101,BOLÍVAR,2,4636.048758813043,663.8222241256551,1771.9770660128374,465.7462378946128,203.4293912643137,883.311830489783,3.2963034251336807,6.91881970256782,0.012869683378852633,0.18631397407621916,0.750968748634388,0.06271727728939276
68121,CABRERA,2,5038.877343731759,516.0296074906017,1244.541994536157,2033.7637471688422,121.41873117425922,880.2858010133795,4.165726467964337,4.1983187579458505,0.015249874677959954,0.17993783460646054,0.7629364731480174,0.05712569224552202
68132,CALIFORNIA,0,9716.095961984798,1197.8748446282627,3460.5273289260927,2761.767002892939,33.27430123967397,1630.4407607440244,4.440785860974691,3.828933957008658,0.04443115483652722,0.2082410948754396,0.7377505300158064,0.05400837510875399
68147,CAPITANEJO,2,7738.65496937257,1108.8926328064351,3656.9863422339886,1097.0959026701967,200.54441231605745,884.7547602179005,4.9308230164254265,4.457644922501395,0.011725520026481136,0.16660632560631508,0.7749939989122885,0.05839967548139648
68152,CARCASÍ,2,2666.4735155209564,117.20762705586623,1025.5667367388294,703.2457623351974,102.55667367388295,263.71716087569905,3.7088659893451306,5.5604745003115985,0.019309033825069034,0.19371903882738287,0.7425318772078545,0.0637490839647626
68160,CEPITÁ,2,2972.4145430818867,326.2406205821583,1341.211440171095,108.7468735273861,144.99583136984813,543.7343676369305,3.6092102495525133,4.691046083949504,0.009262079995620166,0.19441383242353488,0.7387014446387375,0.06688472293772758
68162,CERRITO,2,5957.812075537221,846.4050365615608,2748.0683005245482,934.3432221783463,263.81455685035667,373.73728887133854,3.3860937748786215,6.045198287152469,0.007124512498333102,0.1936782229191193,0.7422731619021342,0.0640486151787465
68167,CHARALÁ,2,8854.344713465416,1512.0043796416026,3941.801301011182,1329.6225284007867,217.68156438419962,929.5591127757713,3.9760347984157023,6.040805394461688,0.011926588964452195,0.17880698507635046,0.7625787026324511,0.05861431229119835
68169,CHARTA,2,7718.237370801491,783.6979484198438,2351.093845259531,1591.1443195190768,284.98107215267044,1994.8675050686934,3.847038336964628,4.849732707713824,0.03156908193361572,0.16211150644479816,0.7843899532662473,0.053498540288954566
68176,CHIMA,2,6205.41458738103,725.0312576321478,1535.3603102798425,1748.6047978187096,85.29779501554681,1215.493578971542,3.6377223005386505,5.160313255127374,0.017319114057582276,0.16530949422354435,0.7770080178563686,0.05768248792008693
68179,CHIPATÁ,0,3555.785788289093,449.430173984495,1797.72069593798,568.3969847450967,66.09267264477869,290.8077596370262,4.691040875299504,4.563689839661211,0.0421332844413448,0.15445661414503628,0.7870508123634138,0.05849257349154993
68190,CIMITARRA,3,11406.044363743385,1518.1713445028731,4771.866113198836,1654.8396976414178,668.5223057138464,1691.065044256454,3.247631233803273,8.063153785547211,0.007245718125228997,0.2042940705246249,0.7213396956979671,0.07436623377740806
68207,CONCEPCIÓN,2,4467.085047879927,504.1592048788368,2321.4772689769693,539.3331028936393,93.79706137280685,539.3331028936393,3.533232874990662,5.823400619711827,0.002966303521202567,0.1743643581294241,0.7687167183873971,0.05691892348317884
68209,CONFINES,2,7900.059215177457,1063.904822674328,2467.353737691527,2263.6272822858045,248.9990010514385,837.5420944457477,4.3481510696718555,4.282505984241348,0.014001346844376634,0.18723768675691838,0.7582733322590584,0.05448898098402323
68211,CONTRATACIÓN,2,7208.311624628398,312.6053510680683,2059.517607036685,2280.180207790616,91.94275031413773,1471.0840050262036,4.020593456084729,4.928499839413349,0.01458022690399707,0.17608296313789545,0.7631121535208625,0.060804883341242046
